Time Elapsed (s),Total Energy,Algae Population,Algae Energy,Ciliate Population,Ciliate Energy
457,114.47100000000026,13,13,20,101.47100000000026
458,111.30800000000015,13,13,19,98.30800000000015
459,115.10800000000012,11,11,20,104.10800000000012
460,115.9739999999994,15,15,19,100.9739999999994
461,108.85999999999899,13,13,19,95.85999999999899
462,107.75699999999927,12,12,18,95.75699999999927
463,110.66399999999922,8,8,19,102.66399999999922
464,98.58699999999938,9,9,16,89.58699999999938
465,102.64299999999933,8,8,16,94.64299999999933
466,99.69499999999911,8,8,16,91.69499999999911
467,94.75599999999896,10,10,16,84.75599999999896
468,99.82799999999894,9,9,16,90.82799999999894
469,102.85199999999895,9,9,16,93.85199999999895
470,103.91199999999913,9,9,15,94.91199999999913
471,110.02699999999913,10,10,15,100.02699999999913
472,97.14599999999909,12,12,14,85.14599999999909
473,100.31999999999914,10,10,14,90.31999999999914
474,103.45299999999921,10,10,15,93.45299999999921
475,109.48799999999925,13,13,17,96.48799999999925
476,111.48499999999932,9,9,17,102.48499999999932
477,102.49899999999957,12,12,16,90.49899999999957
478,99.52000000000008,10,10,16,89.52000000000008
479,106.52500000000019,14,14,17,92.52500000000019
480,113.52200000000029,15,15,17,98.52200000000029
481,117.50200000000045,15,15,17,102.50200000000045
482,121.45000000000066,17,17,18,104.45000000000066
483,125.3670000000009,16,16,19,109.3670000000009
484,115.20900000000086,8,8,19,107.20900000000086
485,115.01600000000087,13,13,20,102.01600000000087
486,113.87000000000052,16,16,19,97.87000000000052
487,113.78700000000063,19,19,18,94.78700000000063
488,112.6630000000008,12,12,19,100.6630000000008
489,104.52400000000057,12,12,20,92.52400000000057
490,109.30600000000057,5,5,21,104.30600000000057
491,113.07600000000065,6,6,23,107.07600000000065
492,112.70100000000019,8,8,22,104.70100000000019
493,115.31800000000027,6,6,24,109.31800000000027
494,116.8780000000004,6,6,24,110.8780000000004
495,109.51300000000074,2,2,23,107.51300000000074
496,113.13300000000082,4,4,23,109.13300000000082
497,110.75200000000058,8,8,23,102.75200000000058
498,116.39500000000056,6,6,23,110.39500000000056
499,124.0380000000006,7,7,23,117.0380000000006
500,120.68300000000077,9,9,23,111.68300000000077
501,119.34900000000064,7,7,22,112.34900000000064
502,122.07300000000072,4,4,22,118.07300000000072
503,124.6970000000008,6,6,24,118.6970000000008
504,129.22100000000086,9,9,25,120.22100000000086
505,131.71500000000077,8,8,25,123.71500000000076
506,139.21100000000084,10,10,26,129.21100000000084
507,149.65100000000083,16,16,26,133.65100000000083
508,137.03499999999997,12,12,26,125.03499999999998
509,134.5040000000002,7,7,25,127.50400000000018
510,135.0260000000003,6,6,26,129.0260000000003
511,129.43799999999962,7,7,27,122.43799999999962
512,128.861,11,11,25,117.86099999999999
513,129.35700000000003,5,5,26,124.35700000000003
514,134.785,6,6,27,128.785
515,133.2270000000002,10,10,26,123.22700000000022
516,139.64100000000016,8,8,26,131.64100000000016
517,134.09200000000064,5,5,27,129.09200000000064
518,117.53000000000053,6,6,24,111.53000000000053
519,123.08600000000045,9,9,26,114.08600000000045
520,129.5260000000002,11,11,26,118.52600000000021
521,124.02099999999966,10,10,25,114.02099999999966
522,123.54899999999971,8,8,24,115.54899999999971
523,124.16599999999949,10,10,23,114.16599999999949
524,120.84399999999962,6,6,22,114.84399999999962
525,113.59699999999938,6,6,20,107.59699999999938
526,115.39599999999942,5,5,21,110.39599999999942
527,107.23899999999907,7,7,19,100.23899999999907
528,114.09899999999915,8,8,19,106.09899999999915
529,112.92599999999929,5,5,20,107.92599999999929
530,109.72699999999902,11,11,19,98.72699999999902
531,114.58699999999912,9,9,19,105.58699999999912
532,120.44699999999922,11,11,19,109.44699999999922
533,124.29199999999933,12,12,20,112.29199999999933
534,118.10799999999948,10,10,20,108.10799999999948
535,120.89999999999972,6,6,21,114.89999999999972
536,114.68900000000026,11,11,19,103.68900000000026
537,120.51400000000048,11,11,20,109.51400000000048
538,113.3930000000006,6,6,19,107.3930000000006
539,107.33700000000047,8,8,19,99.33700000000047
540,108.3030000000005,9,9,18,99.3030000000005
541,94.19200000000014,9,9,17,85.19200000000014
542,98.16700000000007,8,8,18,90.16700000000007
543,104.08699999999989,9,9,18,95.08699999999989
544,95.03400000000045,11,11,17,84.03400000000045
545,88.0119999999997,10,10,17,78.0119999999997
546,85.11799999999977,9,9,16,76.11799999999977
547,86.26099999999975,8,8,17,78.26099999999975
548,84.37999999999968,8,8,16,76.37999999999968
549,88.54199999999972,6,6,17,82.54199999999972
550,90.60699999999972,5,5,17,85.60699999999972
551,87.67599999999973,12,12,16,75.67599999999973
552,90.84399999999977,10,10,16,80.84399999999977
553,95.91899999999981,11,11,17,84.91899999999981
554,92.13800000000006,13,13,16,79.13800000000006
555,99.25800000000014,13,13,16,86.25800000000014
556,106.27700000000024,15,15,17,91.27700000000024
557,106.2340000000004,10,10,19,96.2340000000004
558,108.17000000000057,10,10,20,98.17000000000057
559,110.99600000000069,9,9,21,101.99600000000069
560,114.71600000000072,10,10,22,104.71600000000072
561,113.42500000000072,9,9,22,104.42500000000072
562,115.20100000000076,7,7,23,108.20100000000076
563,121.84400000000082,8,8,23,113.84400000000082
564,117.5060000000011,9,9,24,108.5060000000011
565,116.03700000000124,7,7,26,109.03700000000124
566,122.58100000000138,6,6,26,116.58100000000138
567,130.15100000000157,6,6,26,124.15100000000157
568,130.15100000000157,6,6,26,124.15100000000157
569,130.15100000000157,6,6,26,124.15100000000157
570,130.15100000000157,6,6,26,124.15100000000157
571,130.15100000000157,6,6,26,124.15100000000157
572,130.15100000000157,6,6,26,124.15100000000157
573,130.15100000000157,6,6,26,124.15100000000157
574,130.15100000000157,6,6,26,124.15100000000157
575,130.15100000000157,6,6,26,124.15100000000157
576,130.15100000000157,6,6,26,124.15100000000157
577,130.15100000000157,6,6,26,124.15100000000157
